gene	module
TRMT1	turquoise
KLF10	turquoise
SFXN5	turquoise
ITK	blue
TP53RK	red
OPTN	blue
BEST1	turquoise
AIF1	turquoise
SGTB	blue
CATSPER2	blue
HSPA13	magenta
CD320	brown
NRROS	turquoise
DUOX1	blue
NADK	turquoise
ZNF516	turquoise
HENMT1	blue
ADAM22	yellow
ATP8B2	blue
SRGAP2B	turquoise
EGR1	cyan
ESR2	brown
CTSH	turquoise
ZNF573	blue
GPATCH3	yellow
KLF3-AS1	blue
CD3E	blue
FCER1G	turquoise
BHLHE40	turquoise
SLC4A8	turquoise
MORC4	blue
TNRC6C-AS1	blue
EIF4EBP1	turquoise
TTC9	blue
HLA-DRB1	lightcyan
LCK	blue
SNX30	turquoise
SETD7	green
ACER3	turquoise
TRAF5	blue
ATG101	red
CAPG	lightcyan
CASP1	turquoise
AC008892.1	blue
PLCXD2	black
PANK4	blue
CAMKK1	turquoise
ZNF367	yellow
TXK	blue
VIPR1	blue
AC103591.3	turquoise
MYOM1	brown
RNF24	turquoise
CD247	blue
TESPA1	blue
LINC01934	blue
IDUA	turquoise
HRH2	turquoise
SGPP1	brown
AC090772.2	blue
C2orf81	blue
SMC6	salmon
GRAMD2B	magenta
PSKH1	brown
DHX34	turquoise
HEBP1	green
EDC4	brown
AC021054.1	turquoise
AC007566.1	turquoise
FAM102A	blue
EVA1C	blue
PLA2G6	blue
EML5	tan
AC083870.1	blue
TPST1	greenyellow
AP3M2	blue
INPPL1	green
GORASP1	turquoise
PPP1R13B	brown
MAFF	turquoise
CHAF1A	turquoise
SLC31A1	turquoise
RNF130	turquoise
ZNF528	yellow
DOK1	turquoise
ZNF737	brown
PRKCQ	blue
LMAN1	tan
SELENON	turquoise
SCML1	blue
AC011092.2	purple
AMZ1	turquoise
HELZ2	yellow
SPTSSA	turquoise
DGKQ	blue
GLRX5	red
LINC01504	purple
GCNT1	green
BEX2	brown
KDELR2	red
STARD4-AS1	turquoise
PASK	blue
GNS	turquoise
FAM160B2	blue
SAP30	turquoise
ZNF558	pink
AL035587.1	green
PKIA	blue
PRKCD	turquoise
DENND2D	blue
VNN2	turquoise
AVEN	pink
CREB3L2	red
PDLIM7	turquoise
TRG-AS1	yellow
B4GALT4-AS1	yellow
SAP25	blue
AC087623.2	blue
PLEK	turquoise
RECQL5	brown
CISH	blue
SCML4	blue
ACOT9	turquoise
TMEM199	red
AL035634.1	black
ENTPD3-AS1	yellow
SNTB2	blue
AZIN1-AS1	lightcyan
ZC4H2	brown
MTMR8	yellow
MPND	red
GOT1	black
PRAG1	greenyellow
CDKN2AIP	blue
BDH1	brown
CLPTM1L	lightgreen
LSR	blue
RENBP	turquoise
SMIM19	salmon
SPOCK2	blue
KDM1B	turquoise
CARMIL2	brown
LINC01572	greenyellow
HERC6	blue
RIPOR1	turquoise
SEC61A2	pink
ATP10D	turquoise
AC026341.1	yellow
TTN	blue
HLA-DPA1	lightcyan
FRY	turquoise
APOBEC3G	grey60
NR3C2	blue
DALRD3	turquoise
NPC2	turquoise
BMP2K	turquoise
CCNB1IP1	pink
DUSP16	blue
KIAA0040	blue
POLH	salmon
CCDC159	turquoise
MTHFD1L	brown
AC027644.3	yellow
AL662844.4	yellow
AGPAT5	greenyellow
MAP9	brown
TCP11L2	blue
ZNF559	brown
ACTN1	blue
SGK1	turquoise
CACNA2D4	turquoise
AC243960.1	brown
SRPRB	magenta
GIHCG	blue
AC078881.1	blue
EAF1	turquoise
REEP4	turquoise
TTC21A	green
AC009522.1	turquoise
AC008014.1	salmon
SLC9B2	greenyellow
TTTY14	greenyellow
CD96	brown
NMT2	blue
AL137779.2	yellow
TOR3A	green
SH3TC1	turquoise
TATDN3	green
CCDC32	green
IL1RAP	turquoise
SLC22A18	turquoise
YBX3	turquoise
CAPS	yellow
ZNF589	yellow
MAGEH1	tan
SELENOM	blue
NEMP1	black
ENOSF1	blue
CAPN3	turquoise
AGPAT2	green
WAKMAR2	pink
B4GALT3	pink
AL390728.5	yellow
USB1	purple
STMN3	blue
CHCHD6	blue
SRGAP2	green
ACYP1	blue
WDR35	black
COQ8B	blue
AC073342.1	blue
SHISAL2A	brown
LINC01237	brown
AHDC1	magenta
RUBCN	tan
CREB3	green
KLF11	turquoise
CTH	blue
SLC18B1	greenyellow
OAZ2	turquoise
CD244	turquoise
IL21R	blue
MPZL1	lightcyan
TBC1D19	blue
AC087239.1	yellow
UBE2E2	turquoise
CYB561	cyan
SLC27A3	turquoise
VAMP5	turquoise
SLC10A1	blue
PLCD1	brown
LINC02062	blue
ZNF808	brown
SH2D3A	blue
AC091045.1	turquoise
RIMKLB	black
TBC1D4	blue
B3GNTL1	turquoise
IMPDH1	turquoise
AACS	blue
BLVRB	turquoise
GPR160	turquoise
AFAP1	blue
TPCN2	turquoise
G6PC3	green
ANK3	blue
BAG3	blue
AL645465.1	brown
AL450384.2	blue
TMEM156	brown
AC048341.1	brown
IKZF3	brown
RGS12	turquoise
AL137856.1	blue
ZEB2	turquoise
JAML	turquoise
SPAG16	brown
KIF3A	brown
VPS13B-DT	tan
VPS9D1	blue
NDUFAF6	brown
SNED1	blue
LINC01422	blue
LINC02316	blue
PPT1	green
RCAN3	blue
ERVMER61-1	blue
AC004889.1	blue
AP5B1	turquoise
PTPRE	turquoise
SLC4A5	greenyellow
ABLIM1	brown
FCMR	brown
ANXA5	turquoise
ALG2	grey60
ECHDC2	blue
ARHGEF12	yellow
CD3D	blue
DLG2	yellow
INTS6-AS1	yellow
MPZL3	blue
HLA-DPB1	lightcyan
CHST12	red
AC011476.3	yellow
LACTB2	brown
TOP1MT	greenyellow
SCPEP1	turquoise
CLK2	turquoise
RFLNB	greenyellow
IFT122	yellow
MAML3	turquoise
QSOX1	turquoise
EIF4EBP3	turquoise
ST3GAL2	green
KYAT1	brown
NIFK-AS1	yellow
AP002762.2	blue
TFE3	turquoise
SLC19A2	purple
ARHGAP31	turquoise
AP1S2	turquoise
CTSB	turquoise
SH3BP2	turquoise
SH3YL1	blue
ZSCAN18	brown
SQLE	black
ITGA5	turquoise
WDR74	turquoise
KDM4A-AS1	black
AL683807.1	brown
PREB	lightgreen
ZNF439	magenta
MYD88	turquoise
QRSL1	pink
CDYL2	turquoise
CHD7	blue
TNFRSF10A	brown
DAPP1	green
ZNF567	blue
MAN1A1	lightgreen
ACADS	blue
ALG12	yellow
AL136171.2	green
SKAP2	turquoise
OXNAD1	blue
RGS1	red
INPP4B	blue
EAF2	lightcyan
PDIA6	red
PGGHG	yellow
CARMIL1	green
SREBF1	blue
PIDD1	yellow
AP001160.1	blue
LINC00200	magenta
PLK2	turquoise
AC092683.1	brown
CHIC1	brown
TAX1BP3	red
BNIP3	blue
SMAD7	yellow
UHRF1	black
KCTD5	turquoise
ADAM8	turquoise
AL590764.1	black
OPRM1	blue
DZIP3	brown
LINC02256	turquoise
RTEL1	turquoise
CD2	blue
KIF21B	brown
DTWD1	midnightblue
BACH2	blue
ZNF584	brown
SLC25A25	turquoise
ARAP1	turquoise
SDR42E2	blue
BMERB1	blue
PLCB1	turquoise
RRM2B	green
GIMAP5	blue
AC079209.2	blue
OGFRL1	turquoise
FUCA2	turquoise
MED22	turquoise
INF2	magenta
SFT2D2	green
TCTA	blue
KIAA1958	turquoise
KAT2A	pink
ZNF692	black
GSAP	turquoise
LBH	blue
PDRG1	black
CAT	turquoise
CLN6	purple
ZNF566	greenyellow
ANKS3	black
CTNNA1	turquoise
PLCL1	blue
LY96	turquoise
HSF2	blue
USP46	black
AC009093.2	turquoise
AGER	pink
HLA-DRA	lightcyan
ARRB1	turquoise
GM2A	turquoise
ZMAT1	pink
TCF7	blue
ADA	pink
LAT	blue
FLT3LG	blue
LGALS3	turquoise
ZDBF2	tan
TPST2	blue
AC026347.1	blue
HIP1	turquoise
KLHL3	black
MTFR1L	purple
NOTCH2	turquoise
AL137009.1	midnightblue
CASP9	turquoise
KIAA1324L	brown
ATP2B1-AS1	turquoise
PAM	blue
LINC01678	lightcyan
CD58	turquoise
HS6ST1	green
MFHAS1	blue
ACOT7	brown
SNX25	brown
NFKBIE	lightcyan
FRMD3	turquoise
SSR3	turquoise
WDR89	pink
LCLAT1	blue
C9orf72	turquoise
MAD2L2	blue
AL050309.1	salmon
FNIP2	turquoise
BCL9L	blue
RCAN1	turquoise
IFNGR2	turquoise
NCF1	turquoise
MLLT3	blue
SLC44A1	turquoise
SPINT2	lightcyan
SMAD5	turquoise
NPIPB11	yellow
FAM184B	black
A1BG-AS1	greenyellow
WDR81	turquoise
AARS	brown
PPP2R5B	turquoise
GFER	red
SH2B3	green
RNF215	blue
MID1IP1	turquoise
PCSK5	blue
NBEAL2	turquoise
MYC	blue
BOLA3	blue
SHMT2	red
AC012076.1	turquoise
AC104389.5	greenyellow
ASTN2	brown
LINC00205	black
LINC00954	blue
USP53	brown
ZNF333	turquoise
MVD	pink
DHX32	purple
TOR2A	turquoise
LMO7	blue
NCKAP5L	turquoise
KLHL21	yellow
LMNA	cyan
THEMIS2	turquoise
TC2N	blue
SLC24A1	blue
ZNF551	tan
GON7	red
TRAF3IP2	yellow
HEG1	brown
RFX5	green
RUVBL2	red
AC106791.1	brown
ZBTB38	blue
TYROBP	turquoise
GGT7	blue
PIK3IP1-AS1	blue
ATPAF2	turquoise
PRIM1	brown
PRKAR1B	yellow
AC092652.2	midnightblue
CYSLTR1	turquoise
ZNF827	brown
MRPL15	red
BCL3	turquoise
GRAMD4	turquoise
CLCN7	turquoise
ACP5	green
STAT4	blue
MBOAT7	turquoise
CEP128	red
CAMKK2	turquoise
AL136038.5	pink
HCFC2	blue
TCIRG1	turquoise
ZNF600	yellow
TNFSF10	turquoise
SOX4	turquoise
CCDC167	blue
ZDHHC17	magenta
ATG9A	purple
TPP1	green
HCG27	yellow
ABCA5	brown
HIST2H2BE	pink
SATB1-AS1	blue
ZNF710	green
CASP6	tan
MAPKAPK2	turquoise
PNMA1	blue
EIF2AK4	turquoise
STYXL1	purple
SUSD3	blue
AC107068.2	lightgreen
INTS2	brown
IGF1R	blue
ABHD17A	blue
FAM161B	pink
SP140	grey60
MOV10	yellow
FAM122C	blue
NAA40	brown
C5orf17	turquoise
TMEM241	salmon
GUCD1	turquoise
PITPNM1	turquoise
ZNF836	brown
PLGRKT	midnightblue
PTGER2	turquoise
DENND5A	turquoise
CACNB2	blue
AP000787.1	blue
B3GALNT2	green
PLB1	turquoise
CSGALNACT1	greenyellow
PSTPIP2	turquoise
TSPAN3	green
FUOM	turquoise
PLCB2	turquoise
GOLGA8B	brown
TEC	turquoise
TNIK	blue
PDE4A	turquoise
EFHC1	tan
LTBP3	yellow
UBE2J1	turquoise
LSS	black
AL499604.1	yellow
DSN1	pink
PRXL2C	blue
ADPRM	yellow
SLC16A3	turquoise
MYEF2	black
NUP50-DT	purple
AL137779.1	blue
FBXO41	turquoise
DVL3	turquoise
BID	turquoise
CEBPB	turquoise
ZCWPW1	turquoise
ZNF765	black
MANBAL	turquoise
MAPKAPK3	turquoise
AC008569.1	purple
B9D2	magenta
SLC7A5	turquoise
ZNF318	brown
UBL7	red
MIS12	pink
FEM1C	turquoise
ING1	yellow
RBKS	turquoise
ARHGAP18	turquoise
PIM1	blue
GEMIN6	red
ATP6V0E2	yellow
TBC1D31	yellow
ADARB1	blue
CAMK4	blue
MAP3K8	turquoise
FAS	cyan
ZNF786	brown
PIK3IP1	blue
LIMA1	blue
AC010168.2	brown
ZNF66	yellow
LINC01278	black
CLUAP1	blue
GOLGA8A	brown
ATAD3B	brown
GPR18	blue
DMGDH	yellow
LRP2BP	brown
BLM	tan
NSUN4	green
UBL7-AS1	pink
FASTKD1	tan
AC242426.2	turquoise
RFK	purple
RHOQ	turquoise
SORBS3	blue
PARVB	lightcyan
SPOUT1	black
ERCC8	purple
TUBB2A	yellow
PPP2R3B	blue
LPCAT1	turquoise
LACTB	turquoise
C4orf47	pink
MDC1	brown
RABL2B	blue
MOSPD2	purple
TAF6L	turquoise
WDR54	blue
ZNF337-AS1	brown
IL7R	blue
PHB	red
C2CD2	green
ARHGAP27	turquoise
SARM1	blue
CRYBG3	turquoise
MCM6	black
STX7	green
TIAM1	turquoise
CD302	turquoise
NBPF15	blue
APOLD1	black
SYNE2	blue
PATJ	blue
SLC5A3	red
DPH3	green
CKMT2-AS1	blue
SLC39A4	turquoise
SFI1	blue
AC009133.1	brown
ZBTB18	green
NFATC2	blue
STX18-AS1	brown
MAGI3	blue
TMEM116	blue
ATN1	pink
MIF4GD	red
DPY19L3	turquoise
SEC61A1	red
LEPROT	turquoise
NDST2	pink
TRAF2	grey60
ZNF593	turquoise
HCG17	brown
SNX24	turquoise
KATNAL1	grey60
STXBP4	black
ALAS1	red
RSPH3	green
MRPL49	red
TRAC	blue
PPOX	blue
PPM1K	black
METTL4	brown
TMEM209	brown
CCDC9	turquoise
GLIPR2	turquoise
PHLDB3	blue
SLC26A11	blue
FAM117A	brown
HIST1H1D	yellow
AC119396.1	blue
AC025171.3	yellow
APOBEC3C	red
TMEM104	turquoise
CCDC77	yellow
RORA-AS1	blue
SELENOS	turquoise
ACVR1B	lightgreen
AC026470.2	blue
GAB3	turquoise
NDUFAF1	brown
PAFAH1B3	red
MED9	brown
ORAI3	green
DPY19L4	yellow
AC093157.1	greenyellow
RASSF2	turquoise
SMIM14	lightcyan
ZFPM1	brown
ZBTB7B	turquoise
GIMAP8	purple
AC073111.4	pink
NDUFV2-AS1	blue
LDLR	turquoise
KLF16	green
ASB6	brown
GPR137B	blue
BAIAP2	turquoise
PCED1A	brown
CRELD1	pink
CCND2	blue
AGAP3	turquoise
EFCAB13	yellow
MZF1-AS1	yellow
ZNF101	blue
EYS	greenyellow
ZNF783	blue
MYO15B	turquoise
SCAMP4	green
MDP1	black
GTPBP8	blue
ARPC5L	red
COMMD8	green
SGO1-AS1	greenyellow
DEF8	turquoise
IMPAD1	red
ZDHHC21	tan
UST	brown
EFHD2	turquoise
HEATR3	green
QSER1	purple
LAIR1	turquoise
CDK10	blue
TCF3	salmon
TMEM140	blue
ETS1	blue
CELF6	turquoise
SLC27A5	brown
USP13	black
ZNF169	brown
CHKA	turquoise
RAB33B	greenyellow
NOTCH2NLC	turquoise
FURIN	red
ZC3H12A	pink
LINC02100	yellow
ADHFE1	blue
HSBP1	turquoise
GBP4	blue
ENG	turquoise
TMEM60	green
LPCAT4	brown
PINK1	lightgreen
RPL26L1	green
SFMBT1	brown
FUCA1	green
PLBD2	turquoise
AC017002.5	turquoise
ZNF438	turquoise
NIPA1	pink
GPR174	blue
NAMPT	turquoise
SERPINB9	turquoise
CLPB	turquoise
AC005562.1	green
AC245014.3	turquoise
LTBP4	pink
ERP27	blue
PTPN18	turquoise
CASTOR3	brown
SAE1	yellow
FUT11	turquoise
USP49	lightgreen
CNEP1R1	turquoise
CCDC65	blue
GSDMB	brown
TMEM263	brown
NUCB2	tan
RNPEP	turquoise
ARL1	magenta
ZC3H6	blue
ABCG1	blue
DLGAP1-AS1	pink
AC078785.1	yellow
KLHDC1	brown
TNFRSF1B	turquoise
TOM1	turquoise
MAIP1	magenta
RNF139-AS1	magenta
AC058791.1	blue
AC006299.1	black
SPTBN1	brown
CEACAM21	black
GNB5	black
HEXB	turquoise
MEAK7	blue
LINC00963	turquoise
CARNMT1	blue
HDDC2	blue
CD151	turquoise
TULP3	pink
IFT140	blue
ZCCHC14	yellow
TP53I13	pink
UNC119	lightcyan
ANKRD39	blue
CC2D2B	green
RASGRP1	blue
BLMH	grey60
ZNF862	blue
LZTFL1	tan
UBE3D	brown
AC104695.2	yellow
DYRK2	blue
ST6GALNAC6	pink
FHOD1	turquoise
GCLM	blue
EXTL3	turquoise
CYB561D1	yellow
AC024560.5	turquoise
SPAG1	turquoise
ARSB	green
TENT5C	grey60
MIB2	yellow
SIKE1	blue
ANXA2R	yellow
IL12RB1	cyan
ANKH	blue
LRRC8C-DT	blue
SH2D3C	lightgreen
ENGASE	blue
SENP3	turquoise
FAR2	purple
SHOC1	midnightblue
MTFR1	blue
SPOPL	green
HRAS	grey60
LIMK1	turquoise
TTC12	blue
AC008937.2	green
BCL2	blue
AK3	tan
AC007384.1	yellow
TBC1D17	blue
LYZ	turquoise
SLC25A17	blue
AGAP2	yellow
ARFIP1	purple
BCL11B	blue
YIPF2	red
SLC37A3	blue
FAM227B	yellow
FBXL13	magenta
BCL2L11	turquoise
FAM174A	red
IGSF8	brown
TTL	purple
PLEKHF2	greenyellow
WDR27	brown
PRKCZ	yellow
HPF1	magenta
KCTD10	grey60
TRBC1	blue
DARS2	blue
ARMCX6	magenta
BMPR1A	blue
TSPYL2	yellow
GALK1	turquoise
LFNG	turquoise
MSH2	blue
TEX14	turquoise
G6PD	green
PHC1	yellow
MRPL17	blue
STK32C	turquoise
QDPR	tan
HEMK1	yellow
CLIP4	blue
MBOAT1	turquoise
FKBP15	turquoise
SLC35E3	greenyellow
LY9	greenyellow
AP4B1-AS1	black
NT5DC3	salmon
C5orf66	green
PRKACA	turquoise
BNIP1	tan
HIST1H4C	yellow
YIF1A	red
CHPT1	turquoise
MAN2A2	turquoise
MLEC	red
STN1	blue
GEMIN5	blue
B3GLCT	blue
NOCT	turquoise
EPHX1	blue
AMY2B	yellow
TP53TG1	blue
CFAP36	blue
C1orf159	yellow
RILPL2	turquoise
RNF5	red
NFKBID	turquoise
FXR2	green
NINJ2	turquoise
CRTAP	turquoise
MXD1	turquoise
NDUFAF4	red
SLC25A29	turquoise
LINC00342	black
NAGK	turquoise
AC010978.1	yellow
ELMO2	lightgreen
DIPK1A	tan
HSD17B7	blue
HCFC1R1	purple
NDC1	blue
TFEB	turquoise
DPYD-AS1	turquoise
INSIG1	green
MEX3C	pink
MLST8	turquoise
THEM4	blue
CTPS1	magenta
MTX3	blue
ANKRD6	blue
BX890604.2	blue
WDSUB1	green
AC008875.3	yellow
SOCS1	blue
HDGFL2	red
RTL8C	turquoise
RAD18	pink
TTC28-AS1	brown
AC006160.1	turquoise
SGCE	brown
EPHB6	blue
RRNAD1	turquoise
ATP10A	black
SLC6A6	turquoise
APLF	black
SFXN1	blue
FCHSD1	cyan
SASS6	blue
AC093019.2	brown
SIDT1	brown
SLFN5	blue
CLPX	brown
MLF1	blue
CHMP7	blue
ANKRD36B	brown
UPRT	brown
DGKA	blue
CDRT4	blue
MTA3	black
ZMIZ1	turquoise
AL591895.1	brown
ZSWIM7	turquoise
ENOPH1	yellow
C1orf50	magenta
CDC25B	yellow
PPP2R5D	black
BTBD6	pink
AC092069.1	tan
RGS2	turquoise
HSCB	red
CPNE3	green
CEP89	brown
TUT1	brown
BCKDK	turquoise
OBI1	yellow
OTUD1	turquoise
MRPL10	pink
TMEM164	purple
AC211433.1	tan
LTB4R	turquoise
ANKRD37	blue
DAPK3	turquoise
PLXNC1	turquoise
ZFP30	black
ORMDL3	blue
CNPPD1	turquoise
DNASE1L1	green
DIRC3	blue
TFDP2	black
GRINA	turquoise
CTNND1	turquoise
NIBAN1	cyan
QSOX2	blue
RNF141	turquoise
SESN3	blue
NTAN1	grey60
MIR181A1HG	green
ZNF107	brown
AL139246.5	pink
WARS2-AS1	black
ANKRD46	midnightblue
GMPPA	turquoise
KBTBD3	pink
NIPSNAP1	midnightblue
PPAN	brown
MIR762HG	yellow
IL15RA	grey60
RAD51-AS1	brown
RAB11FIP1	turquoise
ZDHHC8	turquoise
LAP3	turquoise
PEBP1	tan
TRBC2	blue
KIF27	magenta
IGHMBP2	yellow
PXK	turquoise
AC127502.2	magenta
C12orf73	brown
DEDD	yellow
MUTYH	brown
EXD3	yellow
ZNF250	brown
JADE2	brown
SATB1	yellow
BTBD8	brown
APBA3	yellow
C1orf162	turquoise
RIT1	turquoise
RFX3-AS1	brown
BTBD19	turquoise
MYDGF	red
THOC3	blue
Z94721.1	blue
RRM1	blue
RCBTB1	turquoise
ATP6V1B2	turquoise
AL390957.1	turquoise
C11orf68	purple
VAV3	turquoise
WSB2	black
UBA6-AS1	brown
BICD1	black
VMA21	turquoise
Z82215.1	yellow
AC053527.2	brown
RPGR	turquoise
EPB41L2	turquoise
ZDHHC7	turquoise
ERCC4	brown
PARP16	yellow
COX10-AS1	brown
ERVK13-1	brown
ARMH1	pink
ZNF429	yellow
ZNF529-AS1	pink
PIK3CG	turquoise
DCTPP1	red
CORO2A	yellow
ARL3	magenta
AC025164.1	yellow
ZNF484	blue
INSL6	turquoise
RHOH	blue
ERLEC1	yellow
ARF3	green
APTR	turquoise
AP005131.1	greenyellow
CPB2-AS1	green
RALGPS1	pink
PDE4D	grey60
TTI2	brown
RNF185	turquoise
CFAP44	blue
SRF	green
CCDC126	purple
DDX60	brown
TEDC1	lightgreen
ARL16	yellow
METTL22	green
RRBP1	turquoise
MTERF1	brown
PER2	green
AL031428.1	brown
BORCS8	turquoise
ZNF92	yellow
TMEM205	lightgreen
P4HTM	yellow
CCDC146	brown
NARF	pink
TNFRSF1A	turquoise
SNAPC3	greenyellow
ATAD5	brown
NPIPA1	brown
PRAF2	blue
DEC1	yellow
DVL2	tan
AC087741.1	blue
LIME1	tan
AC008771.1	turquoise
AC005920.2	turquoise
FAM98C	brown
NCOA4	green
C19orf12	brown
COIL	black
UVSSA	turquoise
F11R	green
SLC25A38	brown
MCM5	green
IFITM1	blue
BX284668.5	turquoise
B4GALT5	green
PUS7	blue
ERMARD	black
ITGB7	grey60
GSE1	turquoise
METTL9	turquoise
CROT	black
HEXIM1	yellow
PLA2G12A	yellow
PPIB	red
RXYLT1	salmon
C11orf21	turquoise
NCSTN	lightgreen
AC026979.2	yellow
CARD11	brown
AC106818.2	black
STARD3NL	turquoise
AL049828.1	blue
ORAI1	blue
RORA	blue
LMNB1	purple
SUPV3L1	brown
TMEM214	red
IFNGR1	turquoise
GPD1L	magenta
CCDC144A	turquoise
CDKL1	brown
AXIN1	yellow
FAM3C	tan
TRIM39	brown
BCAT2	magenta
DONSON	magenta
FUT8	brown
TRIM34	turquoise
ARL4A	turquoise
ZFYVE16	turquoise
ZNF83	brown
LAMP2	turquoise
SMARCD1	grey60
CHSY1	turquoise
SH3PXD2A	brown
MTHFD2L	lightgreen
SLC39A7	red
ZNF383	brown
DSE	turquoise
SIK1B	turquoise
TMEM106B	brown
SUPT7L	blue
HSPBP1	red
PIEZO1	turquoise
ARHGEF9	black
SPN	red
GPR183	greenyellow
PRPF40B	brown
CCDC7	blue
TFAP4	salmon
AC022098.1	purple
FRMD4A	blue
SNRNP48	black
PIP5K1C	purple
MIIP	turquoise
SMIM29	blue
MYO1F	turquoise
DNAJB11	red
IPMK	turquoise
ARRDC5	pink
SLC35A2	turquoise
PGM2L1	brown
PHF19	yellow
MED30	blue
ZSCAN5A	green
NAE1	brown
ZFP90	blue
USP45	brown
WBP1L	purple
STX6	purple
ARRB2	turquoise
GNA12	green
NEK4	lightgreen
MCF2L2	cyan
C4orf33	purple
CPLANE1	brown
GEMIN8	salmon
RIPK3	blue
ZNF746	turquoise
FAM222A	blue
ITPRID2	turquoise
GPRIN3	brown
HIVEP2	blue
NBPF19	turquoise
TRIM69	yellow
GAS6-AS1	turquoise
SERINC5	blue
AC104695.4	blue
ZBTB25	brown
AC010149.1	blue
AGA	brown
CITED4	blue
CATSPERG	brown
RABEP2	yellow
SNAPIN	magenta
ACTR3B	blue
VPS16	purple
MAST3	pink
FAM76A	black
FLYWCH1	black
TMEM67	yellow
DPP3	turquoise
AC093323.1	brown
GADD45A	brown
GLCCI1	brown
WARS2	blue
CDADC1	turquoise
AL133480.1	brown
STAM2	lightgreen
ALG9	tan
LINS1	blue
MTRF1	blue
DET1	blue
CARM1	green
AKAP1	brown
BCAP29	purple
TGFBR1	blue
HACD3	black
PNPLA6	turquoise
HAUS5	grey60
SLC39A3	red
ERG28	black
LANCL1	brown
MGAT4A	brown
RNASEL	blue
UBL4A	red
MARCH9	brown
EIF2B2	pink
SPDYE2	magenta
SLC39A1	turquoise
POLB	turquoise
TMEM80	lightgreen
NAAA	turquoise
CCDC58	brown
SKAP1	blue
CCSAP	turquoise
CDKL3	brown
NUDT1	turquoise
PRKN	blue
AOAH	turquoise
STX2	blue
DEXI	yellow
PRPS1	midnightblue
SNHG17	brown
TSGA10	pink
YPEL2	turquoise
GALM	blue
B4GALT4	pink
DIAPH2-AS1	green
VIM-AS1	turquoise
GCH1	turquoise
MTFMT	black
PTPN22	blue
SVIP	yellow
SND1-IT1	tan
DYNC2H1	brown
AL365295.1	black
IFT52	grey60
ZNF720	brown
MT2A	turquoise
MAST2	turquoise
IER3IP1	blue
SMYD2	blue
CYTH3	green
RAB11FIP4	brown
MCM7	brown
RARA	turquoise
PIK3CD-AS2	blue
TMEM109	red
PIGB	brown
SBF1	brown
ARHGAP21	turquoise
TUBGCP6	pink
ITPKB	blue
PACC1	green
PCNX3	lightgreen
COL10A1	midnightblue
CRY1	blue
RAB27A	turquoise
ALPK1	turquoise
MSRB2	turquoise
RIOK2	black
SLC25A42	brown
PLPP1	greenyellow
TFPT	yellow
XXYLT1	green
ZNF226	yellow
DNAH1	yellow
HIST1H1C	salmon
MED26	brown
RAB29	grey60
LAMTOR3	green
NEDD4	turquoise
ANKRD36C	yellow
DHX16	blue
TKT	turquoise
SGSH	turquoise
CDC37L1	black
B3GALT4	blue
PCNX2	blue
ATG4C	turquoise
LTA4H	turquoise
ZNF138	yellow
TMEM128	yellow
AL691403.1	turquoise
AC009318.1	black
SPCS1	red
ZFYVE26	green
HADH	greenyellow
SLC35E2B	blue
C2orf69	green
AC011933.4	green
ARFGAP1	turquoise
C15orf41	brown
MTURN	pink
IDNK	yellow
PCYOX1L	blue
TACR1	blue
ABCC5	blue
FYTTD1	greenyellow
ZEB1	brown
TSEN2	blue
KIAA0100	turquoise
EEF1E1	midnightblue
C12orf43	brown
SLC35E4	purple
STX10	turquoise
PLAAT4	blue
AC027097.1	green
TMOD2	turquoise
APLP2	turquoise
EIF4E3	yellow
SLC25A45	black
COMMD5	turquoise
MANBA	turquoise
MATR3.1	black
TMEM44-AS1	turquoise
ISOC2	turquoise
ISG20	brown
SLC39A8	yellow
ZNF32	yellow
CKAP2	greenyellow
TMEM69	pink
SLC35A1	purple
UBE2D1	turquoise
CNDP2	red
MRPL39	brown
LINC01588	yellow
IL32	blue
SERPINB6	turquoise
ZNF839	blue
ZNF714	magenta
MBTPS2	tan
GDE1	red
AC090825.1	brown
NOTCH1	turquoise
WDR25	turquoise
FO393401.1	brown
LRIG2	blue
CDK2AP2	red
RAP2A	green
ZNF81	magenta
TMEM106A	turquoise
BIRC3	blue
RHBDF2	turquoise
PECR	yellow
GALT	blue
FAM13A-AS1	greenyellow
XBP1	black
ARG2	blue
CCDC30	pink
XAF1	turquoise
HINT2	red
TUBE1	brown
PLEKHO1	turquoise
SPCS2	red
AC009090.6	brown
PGAP2	midnightblue
FAM8A1	blue
SPHK2	brown
PACS2	turquoise
BCKDHB	brown
TCTN3	brown
PSMD6-AS2	midnightblue
MYH11	midnightblue
RAB37	purple
WIPI1	turquoise
VPS52	grey60
AC139887.2	tan
PLP2	turquoise
PLCXD1	brown
EEF1AKNMT	tan
JAK2	turquoise
CGAS	green
CC2D1A	green
PBXIP1	blue
PTPN7	blue
LIMD1	turquoise
PDCL3	red
C1orf112	greenyellow
SPDYA	turquoise
CCNG2	turquoise
ZNF84	yellow
PATL2	blue
NUFIP1	tan
RASA4	green
ZNF248	brown
BTG3	brown
LZTR1	yellow
ZNF699	black
SELL	greenyellow
ZNF789	black
SS18L1	turquoise
ZNF14	pink
TMEM14C	turquoise
LPAR6	turquoise
CERS4	brown
ZSCAN26	yellow
ZNF875	blue
ZNF544	brown
FRAT1	turquoise
EML2	yellow
PLAC8	magenta
ZNF701	blue
ABI2	brown
RPS10-NUDT3	black
PIGA	turquoise
